album_ID,album_product_ID,album_name,album_release,
65e36722fc13ae0f07cd3a6b,65e3686cfc13ae0f5ecd4252,Future Nostalgia,1980-11-18 ,
65e367a3fc13ae0dd8cd3a76,65e3686cfc13ae0f5ecd4245,Astronomia,2001-02-25 ,
65e367a3fc13ae0dd8cd3a70,65e3686cfc13ae0f5ecd423f,Beauty And A Beat,2018-02-06 ,
65e367a3fc13ae0dd8cd3a6f,65e3686cfc13ae0f5ecd423e,Being Good Is Boring,1986-08-23 ,
65e36722fc13ae0f07cd3a69,65e3686cfc13ae0f5ecd4239,Planet Her,2010-06-16 ,
65e367a3fc13ae0dd8cd3a82,65e3686cfc13ae0f5ecd4251,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",2011-06-02 ,
65e367a3fc13ae0dd8cd3a72,65e3686cfc13ae0f5ecd4241,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],2019-06-24 ,
65e36722fc13ae0f07cd3a6a,65e3686cfc13ae0f5ecd423a,On My Way,1982-11-27 ,
65e367a3fc13ae0dd8cd3a73,65e3686cfc13ae0f5ecd4242,Bag Raiders (Deluxe),1998-02-27 ,
65e367a3fc13ae0dd8cd3a7b,65e3686cfc13ae0f5ecd424a,AMG,2020-09-19 ,
65e36722fc13ae0f07cd3a68,65e3686cfc13ae0f5ecd4338,Say It Right,2002-01-02 ,
65e36722fc13ae0f07cd3a6c,65e3686cfc13ae0f5ecd423b,Forever,1986-09-06 ,
65e36722fc13ae0f07cd3a67,65e3686cfc13ae0f5ecd4237,Shoot For The Stars Aim For The Moon,1988-04-28 ,
65e367a3fc13ae0dd8cd3a7e,65e3686cfc13ae0f5ecd424d,Afraid To Feel,2013-09-29 ,
65e367a3fc13ae0dd8cd3a78,65e3686cfc13ae0f5ecd4247,As It Was,1987-05-14 ,
65e367a3fc13ae0dd8cd3a7a,65e3686cfc13ae0f5ecd4249,Apologize,2011-06-14 ,
65e367a3fc13ae0dd8cd3a79,65e3686cfc13ae0f5ecd4248,ARDIPITHECUS,1980-05-09 ,
65e36722fc13ae0f07cd3a66,65e3686cfc13ae0f5ecd4236,Without You,1999-12-06 ,
65e367a3fc13ae0dd8cd3a7c,65e3686cfc13ae0f5ecd424b,Ameno Amapiano Remix (You Wanna Bamba),1981-01-12 ,
65e367a3fc13ae0dd8cd3a6e,65e3686cfc13ae0f5ecd423d,Best Friend (feat. Doja Cat) [Remix EP],1997-02-15 ,
65e367a3fc13ae0dd8cd3a6d,65e3686cfc13ae0f5ecd423c,Forever,1986-09-06 ,
65e367a3fc13ae0dd8cd3a71,65e3686cfc13ae0f5ecd4240,Be Kind (with Halsey),2000-03-21 ,
65e367a3fc13ae0dd8cd3a7d,65e3686cfc13ae0f5ecd424c,After Hours,2000-05-27 ,
65e367a3fc13ae0dd8cd3a74,65e3686cfc13ae0f5ecd4243,Bad Habits,2008-07-30 ,
65e367a3fc13ae0dd8cd3a80,65e3686cfc13ae0f5ecd424f,About Damn Time,2001-05-05 ,
65e367a3fc13ae0dd8cd3a81,65e3686cfc13ae0f5ecd4250,abcdefu,1991-08-29 ,
65e367a3fc13ae0dd8cd3a75,65e3686cfc13ae0f5ecd4244,Baby Girl,2017-11-04 ,
65e367a3fc13ae0dd8cd3a7f,65e3686cfc13ae0f5ecd424e,Aesthetic,2022-06-24 ,
65e367a3fc13ae0dd8cd3a77,65e3686cfc13ae0f5ecd4246,Astronaut In The Ocean,1989-01-14 ,
