track_ID,trackproduct_ID,album_ID,track_name,Duration,release_dat,tempo
65e3654dfc13ae0e3fcd36d9,65e3654dfc13ae0e3fcd36da,65e36722fc13ae0f07cd3a6b,Levitating (feat. DaBaby),0:02:38,1980-11-18 ,103
65e3654dfc13ae0e3fcd36db,65e3654dfc13ae0e3fcd36dc,65e36722fc13ae0f07cd3a6b,Break My Heart,0:03:41,1980-11-18 ,113
65e3654dfc13ae0e3fcd36f1,65e3654dfc13ae0e3fcd36f2,65e367a3fc13ae0dd8cd3a76,Astronomia,0:03:18,2001-02-25 ,126
65e3654dfc13ae0e3fcd36e5,65e3654dfc13ae0e3fcd36e6,65e367a3fc13ae0dd8cd3a70,Beauty And A Beat,0:02:18,2018-02-06 ,128
65e3654dfc13ae0e3fcd36e3,65e3654dfc13ae0e3fcd36e4,65e367a3fc13ae0dd8cd3a6f,Being Good Is Boring,0:02:40,1986-08-23 ,112
65e3654dfc13ae0e3fcd36cd,65e3654dfc13ae0e3fcd36ce,65e36722fc13ae0f07cd3a69,Woman,0:02:52,2010-06-16 ,108
65e3654dfc13ae0e3fcd36cf,65e3654dfc13ae0e3fcd36d0,65e36722fc13ae0f07cd3a69,Need to Know,0:03:30,2010-06-16 ,130
65e3654dfc13ae0e3fcd36d1,65e3654dfc13ae0e3fcd36d2,65e36722fc13ae0f07cd3a69,Ain't Shit,0:02:54,2010-06-16 ,124
65e3654dfc13ae0e3fcd36d3,65e3654dfc13ae0e3fcd36d4,65e36722fc13ae0f07cd3a69,You Right,0:03:06,2010-06-16 ,129
65e3654dfc13ae0e3fcd370d,65e3654dfc13ae0e3fcd370e,65e367a3fc13ae0dd8cd3a82,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",0:03:21,2011-06-02 ,95
65e3654dfc13ae0e3fcd36e9,65e3654dfc13ae0e3fcd36ea,65e367a3fc13ae0dd8cd3a72,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,0:03:30,2019-06-24 ,95
65e3654dfc13ae0e3fcd36d5,65e3654dfc13ae0e3fcd36d6,65e36722fc13ae0f07cd3a6a,When Hello Means Goodbye,0:02:38,1982-11-27 ,166
65e3654dfc13ae0e3fcd36d7,65e3654dfc13ae0e3fcd36d8,65e36722fc13ae0f07cd3a6a,On My Way,0:03:20,1982-11-27 ,96
